case,rank,frequency_hz,angle_deg,normalized_error_db,baffle_transfer_error_db,andres_norm_db,model_norm_db,synthetic_nude_norm_db,target_minus_nude_norm_db,model_minus_nude_norm_db,artifact,andres_baffle_transfer_db,model_baffle_transfer_db
focused_q7near_300hz,1,300.2929915487766,75.0,19.805899659568638,19.81520661741618,-29.894390106201172,-10.088490446632534,-10.61905473154438,-19.27533537465679,0.530564284911847,output/l22mg-juan-top-q7near-300hz-mesh-detail,-19.277613264775297,0.5375933526408829
focused_q7near_300hz,2,300.65920251607895,75.0,19.779080035357303,19.786722124561656,-29.868560791015625,-10.089480755658322,-10.619929674770944,-19.24863111624468,0.5304489191126223,output/l22mg-juan-top-q7near-300hz-mesh-detail,-19.250527328412147,0.536194796149509
focused_q7near_300hz,3,301.02541348338127,75.0,19.752238728451438,19.758206422414737,-29.842708587646484,-10.090469859195046,-10.620803552941595,-19.22190503470489,0.5303336937465488,output/l22mg-juan-top-q7near-300hz-mesh-detail,-19.223408480313722,0.5347979421010152
focused_q7near_300hz,4,301.3916244506836,75.0,19.725368106525245,19.729651901814655,-29.81682586669922,-10.091457760173974,-10.6216763686461,-19.19514949805312,0.5302186084721257,output/l22mg-juan-top-q7near-300hz-mesh-detail,-19.19624911545889,0.5334027863557651
focused_q7near_300hz,5,301.7578354179859,75.0,19.698460537263607,19.701058582921384,-29.790904998779297,-10.09244446151569,-10.622548124464856,-19.16835687431444,0.5301036629491662,output/l22mg-juan-top-q7near-300hz-mesh-detail,-19.169049258132247,0.5320093247891364
focused_q7near_300hz,6,302.12404638528824,75.0,19.67151601775651,19.672418856427022,-29.76494598388672,-10.09342996613021,-10.62341882296883,-19.14152716091789,0.5299888568386208,output/l22mg-juan-top-q7near-300hz-mesh-detail,-19.14180130313548,0.5306175532915418
focused_q7near_300hz,7,302.49025735259056,75.0,19.644561247985436,19.64375944522608,-29.738975524902344,-10.094414276916908,-10.624288466719648,-19.114687058182696,0.5298741898027401,output/l22mg-juan-top-q7near-300hz-mesh-detail,-19.114531977457773,0.5292274677683082
focused_q7near_300hz,8,302.8564683198929,75.0,19.617569522180652,19.615053666378707,-29.712966918945312,-10.09539739676466,-10.625157058269671,-19.08780986067564,0.5297596615050111,output/l22mg-juan-top-q7near-300hz-mesh-detail,-19.087214602239037,0.5278390641396697
