case,band,angle_group,normalized_error_rms_db,normalized_error_max_abs_db,baffle_transfer_error_rms_db,baffle_transfer_error_max_abs_db,artifact,andres_baffle_transfer_mean_db,andres_norm_mean_db,angle_max_deg,angle_min_deg,baffle_transfer_error_max_angle_deg,baffle_transfer_error_max_freq_hz,baffle_transfer_error_signed_mean_db,covered_max_hz,covered_min_hz,freq_max_hz,freq_min_hz,model_baffle_transfer_mean_db,model_minus_nude_norm_mean_db,model_norm_mean_db,normalized_error_max_angle_deg,normalized_error_max_freq_hz,normalized_error_signed_mean_db,point_count,synthetic_nude_norm_mean_db,target_minus_nude_norm_mean_db
focused_q7near_300hz,300_600,0_60,1.2087117896503272,2.424098968783767,1.208735126841746,2.433405926631309,output/l22mg-juan-top-q7near-300hz-mesh-detail,-0.8454959984524917,-2.696518071492513,60.0,0.0,60.0,300.2929915487766,0.815144854032255,304.3213121891022,300.2929915487766,600.0,300.0,-0.030351144420236644,-0.030351144420232266,-1.8813732174602533,60.0,300.2929915487766,0.8151448540322598,60,-1.8510220730400209,-0.845495998452492
focused_q7near_300hz,300_600,70_90,13.9437011836504,19.805899659568638,13.943717380080452,19.81520661741618,output/l22mg-juan-top-q7near-300hz-mesh-detail,-7.212328290871316,-23.58416811625163,90.0,70.0,75.0,300.2929915487766,10.605452164705186,304.3213121891022,300.2929915487766,600.0,300.0,3.3931238738338716,3.393123873833875,-12.978715951546434,75.0,300.2929915487766,10.605452164705191,24,-16.37183982538031,-7.212328290871317
focused_q7near_300hz,300_600,80_90,1.5531746865650629,1.5886106345572344,1.5531015304124323,1.5791525335613201,output/l22mg-juan-top-q7near-300hz-mesh-detail,4.703299952697269,-17.416532198588055,90.0,80.0,90.0,304.3213121891022,1.5530154613510476,304.3213121891022,300.2929915487766,600.0,300.0,6.256315414048317,6.25631541404832,-15.863516737237005,90.0,304.3213121891022,1.5530154613510525,12,-22.119832151285323,4.703299952697268
focused_q7near_300hz,300_600,90,1.5531746865650629,1.5886106345572344,1.5531015304124323,1.5791525335613201,output/l22mg-juan-top-q7near-300hz-mesh-detail,4.703299952697269,-17.416532198588055,90.0,90.0,90.0,304.3213121891022,1.5530154613510476,304.3213121891022,300.2929915487766,600.0,300.0,6.256315414048317,6.25631541404832,-15.863516737237005,90.0,304.3213121891022,1.5530154613510525,12,-22.119832151285323,4.703299952697268
focused_q7near_300hz,300_1200,0_60,1.2087117896503272,2.424098968783767,1.208735126841746,2.433405926631309,output/l22mg-juan-top-q7near-300hz-mesh-detail,-0.8454959984524917,-2.696518071492513,60.0,0.0,60.0,300.2929915487766,0.815144854032255,304.3213121891022,300.2929915487766,1200.0,300.0,-0.030351144420236644,-0.030351144420232266,-1.8813732174602533,60.0,300.2929915487766,0.8151448540322598,60,-1.8510220730400209,-0.845495998452492
focused_q7near_300hz,300_1200,70_90,13.9437011836504,19.805899659568638,13.943717380080452,19.81520661741618,output/l22mg-juan-top-q7near-300hz-mesh-detail,-7.212328290871316,-23.58416811625163,90.0,70.0,75.0,300.2929915487766,10.605452164705186,304.3213121891022,300.2929915487766,1200.0,300.0,3.3931238738338716,3.393123873833875,-12.978715951546434,75.0,300.2929915487766,10.605452164705191,24,-16.37183982538031,-7.212328290871317
focused_q7near_300hz,300_1200,80_90,1.5531746865650629,1.5886106345572344,1.5531015304124323,1.5791525335613201,output/l22mg-juan-top-q7near-300hz-mesh-detail,4.703299952697269,-17.416532198588055,90.0,80.0,90.0,304.3213121891022,1.5530154613510476,304.3213121891022,300.2929915487766,1200.0,300.0,6.256315414048317,6.25631541404832,-15.863516737237005,90.0,304.3213121891022,1.5530154613510525,12,-22.119832151285323,4.703299952697268
focused_q7near_300hz,300_1200,90,1.5531746865650629,1.5886106345572344,1.5531015304124323,1.5791525335613201,output/l22mg-juan-top-q7near-300hz-mesh-detail,4.703299952697269,-17.416532198588055,90.0,90.0,90.0,304.3213121891022,1.5530154613510476,304.3213121891022,300.2929915487766,1200.0,300.0,6.256315414048317,6.25631541404832,-15.863516737237005,90.0,304.3213121891022,1.5530154613510525,12,-22.119832151285323,4.703299952697268
