case,angle_deg,artifact,andres_norm_mean_db_300_1200,baffle_transfer_error_max_abs_db_300_1200,baffle_transfer_error_rms_db_300_1200,baffle_transfer_error_signed_mean_db_300_1200,model_norm_mean_db_300_1200,normalized_error_max_abs_db_300_1200,normalized_error_rms_db_300_1200,normalized_error_signed_mean_db_300_1200,synthetic_nude_norm_mean_db_300_1200
focused_q7near_300hz,0.0,output/l22mg-juan-top-q7near-300hz-mesh-detail,0.0,0.009458100995914265,0.005888730614644792,-4.736951571734001e-15,0.0,0.0,0.0,0.0,0.0
focused_q7near_300hz,15.0,output/l22mg-juan-top-q7near-300hz-mesh-detail,-0.34954071044921875,0.0850025202538518,0.07523589760821203,0.07496787064903288,-0.27457283980018116,0.07569556240630959,0.07496925917831104,0.07496787064903761,-0.26336083843926517
focused_q7near_300hz,30.0,output/l22mg-juan-top-q7near-300hz-mesh-detail,-1.5918312072753906,0.48448028563919365,0.473100929850063,0.4730457666523608,-1.118785440623025,0.47517332779165145,0.4730476525555257,0.47304576665236553,-1.0877707786412276
focused_q7near_300hz,45.0,output/l22mg-juan-top-q7near-300hz-mesh-detail,-3.7895851135253906,1.124769923845946,1.1107724813886874,1.1107372079613522,-2.6788479055640337,1.1154629659984039,1.1107411612800466,1.1107372079613569,-2.617162564236535
focused_q7near_300hz,60.0,output/l22mg-juan-top-q7near-300hz-mesh-detail,-7.751633326212565,2.433405926631309,2.4169956395560828,2.416973424898534,-5.334659901314026,2.424098968783767,2.4169775657681853,2.4169734248985386,-5.286816183883078
focused_q7near_300hz,75.0,output/l22mg-juan-top-q7near-300hz-mesh-detail,-29.751804033915203,19.81520661741618,19.65813786672954,19.65788886805933,-10.09391516585587,19.805899659568638,19.658109110259833,19.657888868059334,-10.623847499475298
focused_q7near_300hz,90.0,output/l22mg-juan-top-q7near-300hz-mesh-detail,-17.416532198588055,1.5791525335613201,1.5531015304124323,1.5530154613510476,-15.863516737237005,1.5886106345572344,1.5531746865650629,1.5530154613510525,-22.119832151285323
