label,artifact,all,exact_300_75_removed,deep_null_cluster_removed,target_above_minus20,through60,through80,worst_db,worst_freq,worst_angle
compact2 populated,l22mg-bem-juan-top-populated-silent-current,4.219317921512814,4.2170877350901605,3.825664057880419,1.5940994054637838,1.0093243694173495,3.496503950100462,18.47644015094226,300.2929915487766,75.0
modal full2 populated,l22mg-bem-juan-top-populated-silent-modal-full2-current,4.244133457466221,4.241915186696222,3.8523256970293747,1.5867582846375516,1.0009753877472303,3.507474443316715,18.486587112061088,300.2929915487766,75.0
axisym directivity populated,l22mg-bem-juan-top-populated-silent-axisymmetric-directivity-current,4.088022504333852,4.085632719522797,3.7020701034303407,1.7916025628407903,1.3833973032190323,3.301715162032203,18.778850541068422,300.2929915487766,75.0
axisym thick30,l22mg-bem-juan-top-populated-silent-axisym-thick30-current,4.651984957621983,4.650419551772558,4.400388471888338,2.7055606742186793,1.4637734138122203,3.366894888772398,16.49481436730761,300.2929915487766,75.0
D65 R25 ACM -20 mm,l22mg-bem-juan-top-populated-silent-d65-r25-acm20-current,5.707169057578682,5.707295821776566,5.6680198623348845,4.638741870440839,4.409183887766036,4.47050435480539,-16.075267271968514,755.8594348728657,60.0
split active surface,l22mg-bem-juan-top-populated-silent-split-active-surface-plain-current,6.251880622820701,6.249336526554143,5.776112435660248,3.6391937235518212,1.8014390413443528,5.278563968079604,24.208600963485637,300.2929915487766,75.0
active surface plain,l22mg-bem-juan-top-populated-silent-active-surface-plain-current,8.334027321297384,8.333715641444678,8.34677432965657,5.538201471404487,3.3000301577330173,5.574976231557227,23.619476631911596,932.7393320798874,90.0
active feature proxy coarse,l22mg-bem-juan-top-populated-silent-active-feature-proxy-physical-coarse-smoke,9.279421460163885,9.277263762157359,8.860762947762343,6.362157492243949,4.625203158689362,7.103705157906163,27.833627392684946,300.2929915487766,75.0
active piston,l22mg-bem-juan-top-populated-silent-active-piston-current,10.54995002380398,10.547842197266556,10.152678538247267,6.9424868069126315,4.054634685454197,8.050128896400798,29.599068723785237,300.2929915487766,75.0
