case,reference_case,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg
stable,wide-svd,0_60,-0.48789686883089806,2.1575113434407402,9.27537195597806,1200.0,30.0
stable,wide-svd,70_90,-0.9502402533806187,2.417659538736387,10.080393046299065,1200.0,90.0
stable,wide-svd,80_90,-1.1127777965349388,2.625504597705443,10.080393046299065,1200.0,90.0
stable,wide-svd,90,-1.1709238915147782,2.8167304223427343,10.080393046299065,1200.0,90.0
wide-svd,wide-svd,0_60,0.0,0.0,0.0,300.0,0.0
wide-svd,wide-svd,70_90,0.0,0.0,0.0,300.0,70.0
wide-svd,wide-svd,80_90,0.0,0.0,0.0,300.0,80.0
wide-svd,wide-svd,90,0.0,0.0,0.0,300.0,90.0
axisymmetric-directivity,wide-svd,0_60,1.2193108624467235,3.1990433150150213,9.41001803938667,1200.0,30.0
axisymmetric-directivity,wide-svd,70_90,8.182937515415455,10.03173744096601,27.640381003048034,1009.0756983044574,90.0
axisymmetric-directivity,wide-svd,80_90,8.571565557770324,11.045946069252864,27.640381003048034,1009.0756983044574,90.0
axisymmetric-directivity,wide-svd,90,8.426763000384518,12.445991377640878,27.640381003048034,1009.0756983044574,90.0
profile-ring-compact,wide-svd,0_60,0.9409811999957552,3.302789911104067,10.289661461706885,1200.0,30.0
profile-ring-compact,wide-svd,70_90,-1.0923999891234477,10.875305442575076,24.126790401812976,1200.0,90.0
profile-ring-compact,wide-svd,80_90,-4.726796835406802,12.3948484144588,24.126790401812976,1200.0,90.0
profile-ring-compact,wide-svd,90,-14.888508668991534,16.207659507560056,24.126790401812976,1200.0,90.0
profile-ring-compact-svd,wide-svd,0_60,0.9409839549601309,3.3027930326995962,10.289661461707567,1200.0,30.0
profile-ring-compact-svd,wide-svd,70_90,-1.0927066871581326,10.875875511959311,24.126790402101648,1200.0,90.0
profile-ring-compact-svd,wide-svd,80_90,-4.7272633713877,12.395595790685222,24.126790402101648,1200.0,90.0
