case,source_model,source_profile,rear_phase,mode_count,basis_kind,side_gap_mm,rear_basket_mode_count,half_depth_mm,radii_mm,front_depth_mm,rear_depth_mm,front_radii_mm,rear_radii_mm,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg,fit_front_norm_rms_db_300_1200,fit_rear_norm_rms_db_300_1200,fit_side_worst_norm_rms_db_300_1200,fit_front_abs_rms_db_300_1200,fit_rear_abs_rms_db_300_1200,fit_side_worst_abs_rms_db_300_1200,fit_front_phase_rms_deg_300_1200,fit_rear_phase_rms_deg_300_1200,fit_side_worst_phase_rms_deg_300_1200,design_cond_max,effective_cond_max,source_count,basis_count
stable,split-discrete,symmetric_depth_rings,dipole,0,modal,0.0,0,45.0,"0,40,75",,,,,0_60,0.10454724209311901,0.1709259487032572,0.47792823371568716,1200.0,60.0,2.5413041727005856,2.641708975226253,2.641708975226253,2.507494244720231,2.5977155412639417,2.5977155412639417,16.23373975871606,16.308285322309604,16.308285322309604,563830.4299080084,563830.4299080084,10,10
stable,split-discrete,symmetric_depth_rings,dipole,0,modal,0.0,0,45.0,"0,40,75",,,,,70_90,0.34918031902688634,0.6159535565631995,2.7833503388403784,1038.6438732073716,90.0,2.5413041727005856,2.641708975226253,2.641708975226253,2.507494244720231,2.5977155412639417,2.5977155412639417,16.23373975871606,16.308285322309604,16.308285322309604,563830.4299080084,563830.4299080084,10,10
stable,split-discrete,symmetric_depth_rings,dipole,0,modal,0.0,0,45.0,"0,40,75",,,,,80_90,0.22997224986386444,0.6231474664767874,2.7833503388403784,1038.6438732073716,90.0,2.5413041727005856,2.641708975226253,2.641708975226253,2.507494244720231,2.5977155412639417,2.5977155412639417,16.23373975871606,16.308285322309604,16.308285322309604,563830.4299080084,563830.4299080084,10,10
stable,split-discrete,symmetric_depth_rings,dipole,0,modal,0.0,0,45.0,"0,40,75",,,,,90,-0.1001067864682682,0.6220538855988164,2.7833503388403784,1038.6438732073716,90.0,2.5413041727005856,2.641708975226253,2.641708975226253,2.507494244720231,2.5977155412639417,2.5977155412639417,16.23373975871606,16.308285322309604,16.308285322309604,563830.4299080084,563830.4299080084,10,10
wide-svd,split-discrete,symmetric_depth_rings,dipole,0,modal,0.0,0,45.0,"0,35,70,95",,,,,0_60,0.11610721018380579,0.19172533224747226,0.7813839211901339,1200.0,60.0,2.403629532132933,2.499624076654854,2.499624076654854,2.381093284497877,2.4694379891703324,2.4694379891703324,14.888741264596408,14.960913682536923,14.960913682536923,4210773111.770026,95408.74325642301,14,14
wide-svd,split-discrete,symmetric_depth_rings,dipole,0,modal,0.0,0,45.0,"0,35,70,95",,,,,70_90,0.24622467220938293,0.5459264027271364,2.5885345375709363,1038.6438732073716,90.0,2.403629532132933,2.499624076654854,2.499624076654854,2.381093284497877,2.4694379891703324,2.4694379891703324,14.888741264596408,14.960913682536923,14.960913682536923,4210773111.770026,95408.74325642301,14,14
wide-svd,split-discrete,symmetric_depth_rings,dipole,0,modal,0.0,0,45.0,"0,35,70,95",,,,,80_90,0.09707004369590588,0.5370753805615225,2.5885345375709363,1038.6438732073716,90.0,2.403629532132933,2.499624076654854,2.499624076654854,2.381093284497877,2.4694379891703324,2.4694379891703324,14.888741264596408,14.960913682536923,14.960913682536923,4210773111.770026,95408.74325642301,14,14
wide-svd,split-discrete,symmetric_depth_rings,dipole,0,modal,0.0,0,45.0,"0,35,70,95",,,,,90,-0.16122406198280265,0.605926713416053,2.5885345375709363,1038.6438732073716,90.0,2.403629532132933,2.499624076654854,2.499624076654854,2.381093284497877,2.4694379891703324,2.4694379891703324,14.888741264596408,14.960913682536923,14.960913682536923,4210773111.770026,95408.74325642301,14,14
axisymmetric-directivity,axisymmetric-directivity,measured_axisymmetric_directivity,dipole,0,modal,0.0,0,,,,,,,0_60,0.04718897740313092,0.0617537714780218,0.21348233249506876,1200.0,60.0,7.269262770027132e-15,0.5687227244669742,0.5687227244669742,5.132981030276421e-15,0.5687227244669747,0.5687227244669747,1.978307069726565e-15,68.0336051416609,68.0336051416609,nan,nan,13,13
axisymmetric-directivity,axisymmetric-directivity,measured_axisymmetric_directivity,dipole,0,modal,0.0,0,,,,,,,70_90,0.13079324928120287,0.1468715002319266,0.33456916928948743,1200.0,80.0,7.269262770027132e-15,0.5687227244669742,0.5687227244669742,5.132981030276421e-15,0.5687227244669747,0.5687227244669747,1.978307069726565e-15,68.0336051416609,68.0336051416609,nan,nan,13,13
