frequency_hz,angle_deg,max_pairwise_abs_db,low_case,high_case,eligible_reference_count
367.2160629913966,20.0,0.15265495305530408,modal-full2,profile-ring-full-svd,6
367.2160629913966,30.0,0.3406915993719082,modal-full2,profile-ring-full-svd,6
367.2160629913966,40.0,0.6040807568381013,modal-full2,profile-ring-full-svd,6
367.2160629913966,50.0,0.9603469362220451,modal-full2,profile-ring-full-svd,6
367.2160629913966,60.0,1.47977777315689,modal-full2,profile-ring-full-svd,6
367.2160629913966,70.0,2.4207480422730114,modal-full2,profile-ring-full-svd,6
367.2160629913966,80.0,4.621732469870707,modal-full2,profile-ring-full-svd,6
367.2160629913966,90.0,23.081264553573206,profile-ring-full-svd,modal-full2,6
377.97631496846196,0.0,0.0,modal-compact2,modal-compact2,6
377.97631496846196,10.0,0.04063477319591868,modal-full2,profile-ring-full-svd,6
377.97631496846196,20.0,0.16128132113338722,modal-full2,profile-ring-full-svd,6
377.97631496846196,30.0,0.35923277702056566,modal-full2,profile-ring-full-svd,6
377.97631496846196,40.0,0.634548331475564,modal-full2,profile-ring-full-svd,6
377.97631496846196,50.0,1.0017628872423856,modal-full2,profile-ring-full-svd,6
377.97631496846196,60.0,1.5241696975445294,modal-full2,profile-ring-full-svd,6
377.97631496846196,70.0,2.4348245753805244,modal-full2,profile-ring-full-svd,6
377.97631496846196,80.0,4.357723895170231,modal-full2,profile-ring-full-svd,6
377.97631496846196,90.0,23.300747764651625,profile-ring-full-svd,modal-full2,6
389.0518663953029,0.0,0.0,modal-compact2,modal-compact2,6
389.0518663953029,10.0,0.04292120070796557,modal-full2,profile-ring-full-svd,6
389.0518663953029,20.0,0.17021731175115207,modal-full2,profile-ring-full-svd,6
389.0518663953029,30.0,0.3784720652347744,modal-full2,profile-ring-full-svd,6
389.0518663953029,40.0,0.6662478208722291,modal-full2,profile-ring-full-svd,6
389.0518663953029,50.0,1.0450445200425804,modal-full2,profile-ring-full-svd,6
389.0518663953029,60.0,1.5710365398098958,modal-full2,profile-ring-full-svd,6
389.0518663953029,70.0,2.451777083392571,modal-full2,profile-ring-full-svd,6
389.0518663953029,80.0,4.109137593602476,modal-full2,profile-ring-full-svd,6
389.0518663953029,90.0,23.50259282604442,profile-ring-full-svd,modal-full2,6
400.4519562510103,0.0,0.0,modal-compact2,modal-compact2,6
400.4519562510103,10.0,0.04526337083468235,modal-full2,profile-ring-full-svd,6
400.4519562510103,20.0,0.17938048821358876,modal-full2,profile-ring-full-svd,6
400.4519562510103,30.0,0.3982364130865932,modal-full2,profile-ring-full-svd,6
400.4519562510103,40.0,0.6989070558912118,modal-full2,profile-ring-full-svd,6
400.4519562510103,50.0,1.0898545665976869,modal-full2,profile-ring-full-svd,6
400.4519562510103,60.0,1.620111777108903,modal-full2,profile-ring-full-svd,6
400.4519562510103,70.0,2.471904869642124,modal-full2,profile-ring-full-svd,6
400.4519562510103,80.0,3.8782642277412407,modal-full2,profile-ring-full-svd,6
400.4519562510103,90.0,23.66865629854972,profile-ring-full-svd,modal-full2,6
412.18609423742674,0.0,0.0,modal-compact2,modal-compact2,6
412.18609423742674,10.0,0.0476354203884668,modal-full2,profile-ring-full-svd,6
412.18609423742674,20.0,0.1886706017097879,modal-full2,profile-ring-full-svd,6
412.18609423742674,30.0,0.41831330926989807,modal-full2,profile-ring-full-svd,6
412.18609423742674,40.0,0.7321852315135899,modal-full2,profile-ring-full-svd,6
412.18609423742674,50.0,1.1357512041045155,modal-full2,profile-ring-full-svd,6
412.18609423742674,60.0,1.670980276170063,modal-full2,profile-ring-full-svd,6
412.18609423742674,70.0,2.495280461658851,modal-full2,profile-ring-full-svd,6
412.18609423742674,80.0,3.666548766842169,modal-full2,profile-ring-full-svd,6
412.18609423742674,90.0,23.78165629796183,profile-ring-full-svd,modal-full2,6
424.26406871192853,0.0,0.0,modal-compact2,modal-compact2,6
424.26406871192853,10.0,0.05000871845177102,modal-full2,profile-ring-full-svd,6
424.26406871192853,20.0,0.19797633403446468,modal-full2,profile-ring-full-svd,6
424.26406871192853,30.0,0.4384653092723738,modal-full2,profile-ring-full-svd,6
424.26406871192853,40.0,0.7656969405534682,modal-full2,profile-ring-full-svd,6
424.26406871192853,50.0,1.182221287325099,modal-full2,profile-ring-full-svd,6
424.26406871192853,60.0,1.7231159300220114,modal-full2,profile-ring-full-svd,6
424.26406871192853,70.0,2.5217750201636946,modal-full2,profile-ring-full-svd,6
424.26406871192853,80.0,3.4983050303571943,modal-compact2,profile-ring-full-svd,6
424.26406871192853,90.0,23.829773745067385,profile-ring-full-svd,modal-full2,6
