case,point_count,removed_point_count,excluded_angle_deg,excluded_frequency_min_hz,excluded_frequency_max_hz,normalized_polar_rms_db_300_1200,normalized_polar_rms_db_300_1200_through_60deg,normalized_polar_rms_db_300_1200_through_80deg,normalized_polar_max_abs_error_db_300_1200,normalized_polar_max_abs_error_signed_db_300_1200,normalized_polar_max_abs_error_freq_hz_300_1200,normalized_polar_max_abs_error_angle_deg_300_1200,interpretation
all_validation_points,17199,0,,,,3.92034078207,0.874973836455,3.49082583405,19.1024467096,19.1024467096,300.292991549,75,Full validation surface used for acceptance; target-quality diagnostics do not alter this row.
excluding_target_quality_worst_cell,17198,1,75,300.293,300.293,3.91774778629,0.874973836455,3.48739692977,19.0754231099,19.0754231099,300.659202516,75,Diagnostic only: excludes the single target-polar-quality worst cell; acceptance still uses all measured points.
excluding_target_quality_cluster,16971,228,75,300.293,383.423,3.46091449163,0.874973836455,2.85843459894,13.9561914223,13.9561914223,383.789092094,75,Diagnostic only: excludes the stored target-polar-quality low-frequency null cluster; acceptance still uses the full unmasked target.
