band,cdsl_xc_mean_db,cdsl_xc_median_db,lx521_xc_mean_db,lx521_xc_median_db,cdsl_30_60_mean_db,cdsl_30_60_median_db,lx521_30_60_mean_db,lx521_30_60_median_db,cdsl_di_mean_db,cdsl_beam6_median_deg,cdsl_r0_minus_f0_median_db,cdsl_f90_minus_f0_median_db
70-200 Hz,0.334,0.329,0.152,0.0,0.334,0.329,0.152,0.0,4.387,120.77,2.682,-19.025
200-800 Hz,0.278,0.281,0.328,0.322,0.278,0.281,0.328,0.322,4.317,125.32,-0.894,-19.166
800-2500 Hz,0.416,0.433,0.304,0.336,0.416,0.433,0.304,0.336,6.028,100.34,-1.004,-17.956
2-10 kHz,0.446,0.421,0.414,0.34,0.446,0.421,0.414,0.34,5.849,102.429,-1.05,-28.114
10-20 kHz,0.703,0.628,0.637,0.586,0.703,0.628,0.637,0.586,8.784,67.883,0.077,-34.339
