model,model_label,norm_rms_300_1200_best_variant,norm_rms_300_1200_best_value,norm_rms_300_1200_A_to_D_delta,norm_rms_300_1200_B_to_D_delta,norm_rms_300_1200_slope_per_100mm,norm_rms_300_1200_direction,norm_rms_deep_null_cluster_removed_best_variant,norm_rms_deep_null_cluster_removed_best_value,norm_rms_deep_null_cluster_removed_A_to_D_delta,norm_rms_deep_null_cluster_removed_B_to_D_delta,norm_rms_deep_null_cluster_removed_slope_per_100mm,norm_rms_deep_null_cluster_removed_direction,norm_rms_target_above_minus20_best_variant,norm_rms_target_above_minus20_best_value,norm_rms_target_above_minus20_A_to_D_delta,norm_rms_target_above_minus20_B_to_D_delta,norm_rms_target_above_minus20_slope_per_100mm,norm_rms_target_above_minus20_direction,norm_rms_through60_best_variant,norm_rms_through60_best_value,norm_rms_through60_A_to_D_delta,norm_rms_through60_B_to_D_delta,norm_rms_through60_slope_per_100mm,norm_rms_through60_direction,norm_rms_through80_best_variant,norm_rms_through80_best_value,norm_rms_through80_A_to_D_delta,norm_rms_through80_B_to_D_delta,norm_rms_through80_slope_per_100mm,norm_rms_through80_direction
compact2,h1659-modal-compact-2,D,3.780175332734102,-0.4355061822514412,-0.43914258877871193,-0.16347350349970002,improves_with_width,D,3.3508805486157716,-0.4880752812910769,-0.47478350926464685,-0.1813610126144517,improves_with_width,C,1.355659239772906,-0.5383737264927289,-0.16580074309751947,-0.1853561345169064,improves_with_width,D,0.5410083528956623,-0.7447368144866683,-0.4683160165216872,-0.2627414771218203,improves_with_width,D,3.157571631115567,-0.384430515223408,-0.33893231898489473,-0.1416119797518134,improves_with_width
modal_full2,h1659-modal-full-2,D,3.7798155336858428,-0.42913023821267915,-0.4643179237803783,-0.1627132442372895,improves_with_width,D,3.351540071592489,-0.48131961773985665,-0.5007856254368859,-0.18044380761441445,improves_with_width,C,1.3234115087040772,-0.5380830945790458,-0.21310154641071444,-0.18775960596706087,improves_with_width,D,0.524211443215842,-0.7411929418199774,-0.47676394453138826,-0.26191299149990127,improves_with_width,D,3.1558342791818585,-0.38009017717004,-0.35164016413485655,-0.1409723285732769,improves_with_width
axisym_directivity,axisymmetric-directivity,B,4.502603593760629,0.06408270392060622,0.8932841846396773,0.028291347153445365,worsens_with_width,B,4.258543238066754,0.1433563836763847,0.9814133158142253,0.05520912336897042,worsens_with_width,B,2.5234011807791195,0.7615960530516084,1.5010062300922646,0.2775294514865609,worsens_with_width,B,1.8941865245405036,2.0025948226468553,2.126572874666202,0.6942520767947171,worsens_with_width,B,3.3796606002421545,0.5067132188029895,1.020309232527215,0.1767730828510293,worsens_with_width
